Indicator,Country,Date,value
"Cumulative number of probable Ebola cases","Sierra Leone",2015-01-08,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-01-08,1984.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-01-08,10030.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-01-08,2611.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-01-08,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-01-08,158.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-01-08,2977.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-01-09,3123.0
"Cumulative number of probable Ebola cases",Liberia,2015-01-09,1831.0
"Cumulative number of suspected Ebola cases",Liberia,2015-01-09,3309.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-09,8263.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-09,3515.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-01-09,2493.0
"Cumulative number of probable Ebola cases",Guinea,2015-01-09,282.0
"Cumulative number of suspected Ebola cases",Guinea,2015-01-09,18.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-01-09,1515.0
"Cumulative number of probable Ebola deaths",Guinea,2015-01-09,282.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-09,1797.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-09,2793.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-01-09,7759.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-01-09,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-01-09,1984.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-01-09,10030.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-01-09,2611.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-01-09,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-01-09,158.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-01-09,2977.0
"Cumulative number of confirmed Ebola cases",Mali,2015-01-09,7.0
"Cumulative number of probable Ebola cases",Mali,2015-01-09,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-01-09,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-09,6.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-01-09,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-01-09,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-01-09,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-01-09,0.0
"Cumulative number of confirmed Ebola cases",Mali,2015-01-12,7.0
"Cumulative number of probable Ebola cases",Mali,2015-01-12,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-01-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-12,6.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-01-12,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-01-12,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-01-12,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-01-12,0.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-01-12,3123.0
"Cumulative number of probable Ebola cases",Liberia,2015-01-12,1833.0
"Cumulative number of suspected Ebola cases",Liberia,2015-01-12,3322.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-12,8278.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-12,3515.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-01-12,2508.0
"Cumulative number of probable Ebola cases",Guinea,2015-01-12,284.0
"Cumulative number of suspected Ebola cases",Guinea,2015-01-12,7.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-01-12,1523.0
"Cumulative number of probable Ebola deaths",Guinea,2015-01-12,284.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-12,1807.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-12,2799.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-01-12,7766.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-01-12,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-01-12,2041.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-01-12,10094.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-01-12,2683.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-01-12,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-01-12,158.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-01-12,3049.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-13,2799.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-01-13,2508.0
"Cumulative number of probable Ebola cases",Guinea,2015-01-13,284.0
"Cumulative number of suspected Ebola cases",Guinea,2015-01-13,7.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-13,1807.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-01-13,1523.0
"Cumulative number of probable Ebola deaths",Guinea,2015-01-13,284.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-13,8278.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-01-13,3123.0
"Cumulative number of probable Ebola cases",Liberia,2015-01-13,1833.0
"Cumulative number of suspected Ebola cases",Liberia,2015-01-13,3322.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-13,3515.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-01-13,10094.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-01-13,7766.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-01-13,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-01-13,2041.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-01-13,3049.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-01-13,2683.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-01-13,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-01-13,158.0
"Cumulative number of confirmed Ebola cases",Mali,2015-01-13,7.0
"Cumulative number of probable Ebola cases",Mali,2015-01-13,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-01-13,1.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-13,6.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-01-13,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-01-13,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-01-13,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-01-13,0.0
"Cumulative number of confirmed Ebola cases",Mali,2015-01-14,7.0
"Cumulative number of probable Ebola cases",Mali,2015-01-14,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-01-14,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-14,6.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-01-14,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-01-14,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-01-14,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-01-14,0.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-01-14,2514.0
"Cumulative number of probable Ebola cases",Guinea,2015-01-14,284.0
"Cumulative number of suspected Ebola cases",Guinea,2015-01-14,8.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-14,2806.0
"Number of confirmed Ebola cases in the last 21 days",Guinea,2015-01-14,230.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2015-01-14,230.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-01-14,1530.0
"Cumulative number of probable Ebola deaths",Guinea,2015-01-14,284.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-14,1814.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-01-14,3127.0
"Cumulative number of probable Ebola cases",Liberia,2015-01-14,1839.0
"Cumulative number of suspected Ebola cases",Liberia,2015-01-14,3365.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-14,8331.0
"Number of confirmed Ebola cases in the last 21 days",Liberia,2015-01-14,48.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2015-01-14,48.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-14,3538.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-01-14,7786.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-01-14,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-01-14,2051.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-01-14,10124.0
"Number of confirmed Ebola cases in the last 21 days","Sierra Leone",2015-01-14,769.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Sierra Leone",2015-01-14,769.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-01-14,2696.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-01-14,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-01-14,158.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-01-14,3062.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-14,8.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-01-14,1.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-01-14,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-01-14,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-01-14,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-14,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-01-14,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-01-14,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-01-14,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-14,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-01-14,1.0
"Cumulative number of probable Ebola cases",Spain,2015-01-14,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-01-14,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-14,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-01-14,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-01-14,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-01-14,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-01-14,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-01-14,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-01-14,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-01-14,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-14,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-01-14,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-01-14,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-01-14,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-14,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-01-14,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-01-14,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-01-14,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-14,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-01-14,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-01-14,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-01-14,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-01-14,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-15,2817.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-01-15,2522.0
"Cumulative number of probable Ebola cases",Guinea,2015-01-15,284.0
"Cumulative number of suspected Ebola cases",Guinea,2015-01-15,11.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-15,1821.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-01-15,1537.0
"Cumulative number of probable Ebola deaths",Guinea,2015-01-15,284.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-15,8362.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-01-15,3127.0
"Cumulative number of probable Ebola cases",Liberia,2015-01-15,1841.0
"Cumulative number of suspected Ebola cases",Liberia,2015-01-15,3394.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-15,3556.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-01-15,10150.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-01-15,7802.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-01-15,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-01-15,2061.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-01-15,3067.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-01-15,2701.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-01-15,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-01-15,158.0
"Cumulative number of confirmed Ebola cases",Mali,2015-01-15,7.0
"Cumulative number of probable Ebola cases",Mali,2015-01-15,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-01-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-15,6.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-01-15,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-01-15,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-01-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-01-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-15,8.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-01-15,1.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-01-15,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-01-15,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-01-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-15,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-01-15,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-01-15,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-01-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-15,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-01-15,1.0
"Cumulative number of probable Ebola cases",Spain,2015-01-15,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-01-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-15,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-01-15,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-01-15,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-01-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-01-15,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-01-15,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-01-15,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-01-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-15,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-01-15,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-01-15,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-01-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-15,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-01-15,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-01-15,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-01-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-15,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-01-15,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-01-15,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-01-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-01-15,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-01-16,7.0
"Cumulative number of probable Ebola cases",Mali,2015-01-16,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-01-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-16,6.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-01-16,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-01-16,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-01-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-01-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-16,2825.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-01-16,2525.0
"Cumulative number of probable Ebola cases",Guinea,2015-01-16,288.0
"Cumulative number of suspected Ebola cases",Guinea,2015-01-16,12.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-16,1829.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-01-16,1541.0
"Cumulative number of probable Ebola deaths",Guinea,2015-01-16,288.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-16,8362.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-01-16,3127.0
"Cumulative number of probable Ebola cases",Liberia,2015-01-16,1841.0
"Cumulative number of suspected Ebola cases",Liberia,2015-01-16,3394.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-16,3556.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-01-16,10186.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-01-16,7825.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-01-16,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-01-16,2074.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-01-16,3083.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-01-16,2717.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-01-16,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-01-16,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-16,8.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-01-16,1.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-01-16,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-01-16,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-01-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-16,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-01-16,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-01-16,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-01-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-16,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-01-16,1.0
"Cumulative number of probable Ebola cases",Spain,2015-01-16,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-01-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-16,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-01-16,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-01-16,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-01-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-01-16,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-01-16,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-01-16,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-01-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-16,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-01-16,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-01-16,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-01-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-16,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-01-16,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-01-16,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-01-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-16,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-01-16,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-01-16,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-01-16,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-01-16,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-01-19,10306.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-01-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-19,1875.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-01-19,1556.0
"Cumulative number of probable Ebola deaths",Guinea,2015-01-19,319.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-01-19,2766.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-01-19,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-01-19,158.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-01-19,2539.0
"Cumulative number of suspected Ebola cases",Guinea,2015-01-19,15.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-19,8435.0
"Cumulative number of probable Ebola cases",Liberia,2015-01-19,1850.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-19,3587.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-01-19,7883.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-01-19,2136.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-01-19,1.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-01-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-19,2873.0
"Cumulative number of probable Ebola cases",Guinea,2015-01-19,319.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-01-19,3131.0
"Cumulative number of suspected Ebola cases",Liberia,2015-01-19,3454.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-01-19,287.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-01-19,3132.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-01-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-01-19,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-01-19,7.0
"Cumulative number of probable Ebola cases",Mali,2015-01-19,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-01-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-19,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-19,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-01-19,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-01-19,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-01-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-19,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-01-19,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-01-19,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-01-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-19,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-01-19,1.0
"Cumulative number of probable Ebola cases",Spain,2015-01-19,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-01-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-19,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-01-19,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-01-19,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-01-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-01-19,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-01-19,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-01-19,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-01-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-19,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-01-19,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-01-19,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-01-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-19,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-01-19,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-01-19,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-01-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-19,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-01-19,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-01-19,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-01-19,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-01-19,1.0
"Cumulative number of probable Ebola cases",Guinea,2015-01-20,319.0
"Cumulative number of suspected Ebola cases",Guinea,2015-01-20,13.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-20,1876.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-01-20,1557.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-01-20,2150.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-01-20,3145.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-01-20,2779.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-01-20,208.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-20,2871.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-01-20,3135.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-01-20,10340.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-01-20,287.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-01-20,158.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-01-20,2539.0
"Cumulative number of probable Ebola deaths",Guinea,2015-01-20,319.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-20,8478.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-01-20,7903.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-01-20,1.0
"Cumulative number of probable Ebola cases",Liberia,2015-01-20,1854.0
"Cumulative number of suspected Ebola cases",Liberia,2015-01-20,3489.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-20,3605.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-01-20,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-01-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-01-20,0.0
